ID,Provincia,Latitud,Longitud,Localidad,SitioCodigo,Area_(m2),Taxa,Especie,EspecieCodigo,Talla_(cm),Abundancia,Densidad_(org/m2)
1,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Lobatus galeatus,LOB_GAL,15,2,0.04
2,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,20,4,0.08
3,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,25,2,0.04
4,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Muricea fruticosa,MUR_FRU,25,1,0.02
5,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Pinctada mazatlanica,PIN_MAZ,10,1,0.02
6,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Pinctada mazatlanica,PIN_MAZ,15,4,0.08
7,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Pinna rugosa,PIN_RUG,10,1,0.02
8,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hexacorallia,Porites sp,POR_SP,5,1,0.02
9,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Demospongiae,Demospongiae sp,DEM_SP,10,1,0.02
10,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Siphonaria gigas,SIP_GIG,5,6,0.12
11,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Cirripedia,Balanus sp,BAL_SP,5,100,2
12,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Conus nux,CON_NUX,5,7,0.14
13,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Echinoidea,Diadema mexicanum,DIA_MEX,10,41,0.82
14,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Echinoidea,Diadema mexicanum,DIA_MEX,5,10,0.2
15,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,35,8,0.16
16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Muricea fruticosa,MUR_FRU,20,1,0.02
17,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Muricea fruticosa,MUR_FRU,10,4,0.08
18,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Pacifigorgia sp,PAC_SP,20,3,0.06
19,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Pinctada mazatlanica,PIN_MAZ,15,3,0.06
20,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Pinctada mazatlanica,PIN_MAZ,10,12,0.24
21,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Demospongiae,Demospongiae sp,DEM_SP,15,5,0.1
22,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,60,1.2
23,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Siphonaria gigas,SIP_GIG,5,5,0.1
24,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Polychaeta,Spirobranchus sp,SPI_SP,5,94,1.88
25,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Vasula melones,VAS_MEL,5,25,0.5
26,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Conus purpurascens,CON_PUR,5,7,0.14
27,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Conus purpurascens,CON_PUR,10,1,0.02
28,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Demospongiae,Demospongiae sp,DEM_SP,15,1,0.02
29,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Hexaplex princeps,HEX_PRI,10,1,0.02
30,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,5,13,0.26
31,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,10,1,0.02
32,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,15,4,0.08
33,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Pacifigorgia sp,PAC_SP,10,1,0.02
34,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Pacifigorgia sp,PAC_SP,15,1,0.02
35,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Pinctada mazatlanica,PIN_MAZ,10,1,0.02
36,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hexacorallia,Porites sp,POR_SP,35,2,0.04
37,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,75,1.5
38,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Cirripedia,Balanus sp,BAL_SP,5,100,2
39,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Gastropoda,Conus purpurascens,CON_PUR,5,1,0.02
40,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Gastropoda,Conus purpurascens,CON_PUR,10,1,0.02
41,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Gastropoda,Conus purpurascens,CON_PUR,5,15,0.3
42,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Bivalvia,Crassostrea rhizophorae,CRA_RHI,5,75,1.5
43,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Decapoda,Enoplometopidae sp,ENO_SP,5,3,0.06
