Dia,Provincia,Latitud,Longitud,Localidad,SitioCodigo,Profundidad,Transecto,Area_(m2),Phylum,Taxa,Especie,NivelTrofico,Talla_(cm),Abundancia,Densidad_(org/m2)
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Carangidae,Gnathanodon speciosus,Piscivoros,20,5,0.1
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Haemulidae,Haemulon maculicauda,Carnivoros,15,4,0.08
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Pomacentridae,Microspathodon dorsalis,Herbivoros,25,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Pomacentridae,Microspathodon dorsalis,Herbivoros,30,3,0.06
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Pomacentridae,Abudefduf troschelii,Herbivoros,10,3,0.06
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Pomacentridae,Abudefduf concolor,Herbivoros,5,5,0.1
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,10,6,0.12
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,15,8,0.16
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Cirrhitidae,Cirrhitus rivulatus,Carnivoros,15,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Serranidae,Epinephelus labriformis,Carnivoros,15,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Serranidae,Epinephelus labriformis,Carnivoros,20,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Zanclidae,Zanclus cornutus,Carnivoros,20,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,5,11,0.22
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,10,32,0.64
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,15,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Labridae,Bodianus diplotaenia,Carnivoros,15,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,2,1,50,Chordata,Kyphosidae,Kyphosus elegans,Herbivoros,35,2,0.04
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Balistidae,Balistes polylepis,Carnivoros,15,3,0.06
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Balistidae,Sufflamen verres,Carnivoros,25,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Haemulidae,Haemulon maculicauda,Carnivoros,15,19,0.38
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Haemulidae,Haemulon maculicauda,Carnivoros,20,54,1.08
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Chaetodontidae,Johnrandallia nigrirostris,Carnivoros,15,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Chaetodontidae,Chaetodon humeralis,Carnivoros,15,2,0.04
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Pomacanthidae,Pomacanthus zonipectus,Carnivoros,20,1,0.02
