ID,Provincia,Latitud,Longitud,Localidad,SitioCodigo,Transecto,m2,vert_invert,phylum,taxa,sp,sp_code,length,abundance
1,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,7,50,Invertebrados,Mollusca,Gastropoda,Lobatus galeatus,LOB_GAL,15,2
2,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,7,50,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,20,4
3,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,7,50,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,25,2
4,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,7,50,Invertebrados,Cnidaria,Octocorallia,Muricea fruticosa,MUR_FRU,25,1
5,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,7,50,Invertebrados,Mollusca,Bivalvia,Pinctada mazatlanica,PIN_MAZ,10,1
6,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,7,50,Invertebrados,Mollusca,Bivalvia,Pinctada mazatlanica,PIN_MAZ,15,4
7,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,7,50,Invertebrados,Mollusca,Bivalvia,Pinna rugosa,PIN_RUG,10,1
8,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,7,50,Invertebrados,Cnidaria,Hexacorallia,Porites sp,POR_SP,5,1
9,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,7,50,Invertebrados,Porifera,Demospongiae,Demospongiae sp,DEM_SP,10,1
10,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,7,50,Invertebrados,Mollusca,Gastropoda,Siphonaria gigas,SIP_GIG,5,6
11,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Arthropoda,Cirripedia,Balanus sp,BAL_SP,5,100
12,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Mollusca,Gastropoda,Conus nux,CON_NUX,5,7
13,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Echinodermata,Echinoidea,Diadema mexicanum,DIA_MEX,10,41
14,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Echinodermata,Echinoidea,Diadema mexicanum,DIA_MEX,5,10
15,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,35,8
16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Cnidaria,Octocorallia,Muricea fruticosa,MUR_FRU,20,1
17,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Cnidaria,Octocorallia,Muricea fruticosa,MUR_FRU,10,4
18,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Cnidaria,Octocorallia,Pacifigorgia sp,PAC_SP,20,3
19,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Mollusca,Bivalvia,Pinctada mazatlanica,PIN_MAZ,15,3
20,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Mollusca,Bivalvia,Pinctada mazatlanica,PIN_MAZ,10,12
21,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Porifera,Demospongiae,Demospongiae sp,DEM_SP,15,5
22,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Chordata,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,60
23,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Mollusca,Gastropoda,Siphonaria gigas,SIP_GIG,5,5
24,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Annelida,Polychaeta,Spirobranchus sp,SPI_SP,5,94
25,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,8,50,Invertebrados,Mollusca,Gastropoda,Vasula melones,VAS_MEL,5,25
26,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,10,50,Invertebrados,Mollusca,Gastropoda,Conus purpurascens,CON_PUR,5,7
27,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,10,50,Invertebrados,Mollusca,Gastropoda,Conus purpurascens,CON_PUR,10,1
28,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,10,50,Invertebrados,Porifera,Demospongiae,Demospongiae sp,DEM_SP,15,1
29,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,10,50,Invertebrados,Mollusca,Gastropoda,Hexaplex princeps,HEX_PRI,10,1
30,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,10,50,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,5,13
31,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,10,50,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,10,1
32,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,10,50,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,15,4
33,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,10,50,Invertebrados,Cnidaria,Octocorallia,Pacifigorgia sp,PAC_SP,10,1
34,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,10,50,Invertebrados,Cnidaria,Octocorallia,Pacifigorgia sp,PAC_SP,15,1
35,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,10,50,Invertebrados,Mollusca,Bivalvia,Pinctada mazatlanica,PIN_MAZ,10,1
36,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,10,50,Invertebrados,Cnidaria,Hexacorallia,Porites sp,POR_SP,35,2
37,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,10,50,Invertebrados,Chordata,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,75
38,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,14,50,Invertebrados,Arthropoda,Cirripedia,Balanus sp,BAL_SP,5,100
39,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,13,50,Invertebrados,Mollusca,Gastropoda,Conus purpurascens,CON_PUR,5,1
40,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,13,50,Invertebrados,Mollusca,Gastropoda,Conus purpurascens,CON_PUR,10,1
41,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,14,50,Invertebrados,Mollusca,Gastropoda,Conus purpurascens,CON_PUR,5,15
42,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,14,50,Invertebrados,Mollusca,Bivalvia,Crassostrea rhizophorae,CRA_RHI,5,75
43,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,13,50,Invertebrados,Arthropoda,Decapoda,Enoplometopidae sp,ENO_SP,5,3
44,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,13,50,Invertebrados,Chordata,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,27
45,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,13,50,Invertebrados,Annelida,Polychaeta,Spirobranchus sp,SPI_SP,5,2
46,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,13,50,Invertebrados,Cnidaria,Hexacorallia,Pocillopora sp,POC_SP,5,1
